Abacavir (sulfato) 	Glaxosmithkline 	ZIAGENAVIR 	101070234 	20 mg/mL 	sol or 	30/11/2012
""	""	""	""	""	""	""
Diltiazem (cloridrato)	Boehringer Ingelheim	CARDIZEM CD	103670062	180mg	cap dura lib gradual	12/11/2012
""	""	""	""	""	""	""
Diltiazem (cloridrato)	Boehringer Ingelheim	CARDIZEM CD	103670062	240mg	cap dura lib gradual	12/11/2012
""	""	""	""	""	""	""
Diltiazem (cloridrato)	Boehringer Ingelheim	CARDIZEM SR	103670062	90mg	cap dura + microgran	12/11/2012
""	""	""	""	""	""	""
Diltiazem (cloridrato)	Boehringer Ingelheim	CARDIZEM SR	103670062	120mg	cap dura + microgran	12/11/2012
""	""	""	""	""	""	""
Dimenidrinato	Takeda	DRAMIN	106390155	100mg	com	12/11/2012
""	""	""	""	""	""	""
Dimenidrinato	Takeda	DRAMIN	106390155	2,5mg/ml	sol or	10/12/2014
""	""	""	""	""	""	""
Dimenidrinato	Takeda	DRAMIN	106390155	25mg	cap gel mole	10/12/2014
""	""	""	""	""	""	""
Dipiridamol	Boehringer Ingelheim	PERSANTIN	103670030	75mg	drag	12/11/2012
""	""	""	""	""	""	""
Dipiridamol	Boehringer Ingelheim	PERSANTIN	103670030	100mg	drag	12/11/2012
""	""	""	""	""	""	""
Dipiridamol	Boehringer Ingelheim	PERSANTIN	103670030	5mg/mL	sol inj	12/11/2012
""	""	""	""	""	""	""
Dipirona sódica monoidratada	Sanofi-Aventis	NOVALGINA	113000058	300mg	sup	12/11/2012
""	""	""	""	""	""	""
Dipirona sódica monoidratada	Sanofi-Aventis	NOVALGINA	113000058	500mg	com	12/11/2012
""	""	""	""	""	""	""
Dipirona sódica monoidratada	Sanofi-Aventis	NOVALGINA	113000058	1000mg	com	12/11/2012
""	""	""	""	""	""	""
Dipirona sódica monoidratada	Sanofi-Aventis	NOVALGINA	113000058	500mg/mL	sol inj	12/11/2012
""	""	""	""	""	""	""
Dipirona sódica monoidratada	Sanofi-Aventis	NOVALGINA	113000058	50mg/mL	sol or	12/11/2012
""	""	""	""	""	""	""
Dipirona sódica monoidratada	Sanofi-Aventis	NOVALGINA	113000058	500mg/mL	sol or	12/11/2012
""	""	""	""	""	""	""
Divalproato de sódio	Abbott	DEPAKOTE	105530203	250mg	com rev	12/11/2012
""	""	""	""	""	""	""
Divalproato de sódio	Abbott	DEPAKOTE	105530203	500mg	com rev	12/11/2012
""	""	""	""	""	""	""
Divalproato de sódio	Abbott	DEPAKOTE SPRINKLE	105530203	125mg	cap + microgran	12/11/2012
""	""	""	""	""	""	""
Divalproato de sódio	Abbott	DEPAKOTE ER	105530203	250mg	com rev lib prol	22/1/2013
""	""	""	""	""	""	""
Divalproato de sódio	Abbott	DEPAKOTE ER	105530203	500mg	com rev lib prol	12/11/2012
Dobesilato de cálcio 	Apsen Farmacêutica 	DOBEVEN 	101180612 	500mg 	cap gel dura 	9/9/2015
Dobutamina (cloridrato) 	Antibióticos do Brasil 	DOBUTREX 	155620008 	12,5mg/mL 	sol inj 	12/11/2012
Docetaxel (triidratado) 	Sanofi-Aventis 	TAXOTERE 	113000283 	20mg/ml 	sol inj 	10/5/2013
Docetaxel (triidratado) 	Libbs 	DOCELIBBS 	100330121 	40mg/ml 	sol inj + diluente 	23/9/2014
Domperidona 	Janssen Cilag 	MOTILIUM 	112360022 	10mg 	com 	12/11/2012
Domperidona 	Janssen Cilag 	MOTILIUM 	112360022 	1mg/mL 	sus or 	12/11/2012
Donepezila (cloridrato) 	Wyeth 	ERANZ 	121100106 	5mg 	com rev 	12/11/2012
Donepezila (cloridrato) 	Wyeth 	ERANZ 	121100106 	10 mg 	com rev 	12/11/2012
Dorzolamida (cloridrato) 	Merck Sharp & Dohme 	TRUSOPT 	100290027 	20mg/mL 	sol oft 	12/11/2012
Doxazosina (mesilato) 	Merck S/A 	MESILATO DE DOXAZOSINA 	100890277 	2mg 	com 	20/11/2012; 04/2/2013
Doxazosina (mesilato) 	Merck S/A 	MESILATO DE DOXAZOSINA 	100890277 	4 mg 	com 	20/11/2012; 04/2/2013
Doxazosina (mesilato) 	Pfizer 	CARDURAN XL 	102160046 	4,0 mg 	com lib cont 	12/11/2012
Doxiciclina (cloridrato) 	Pfizer 	VIBRAMICINA 	102160030 	100mg 	drag 	12/11/2012
Doxiciclina monoidratada 	Pfizer 	VIBRAMICINA 	102160030 	100mg 	com sol 	12/11/2012
Doxorrubicina (cloridrato) 	Pfizer 	ADRIBLASTINA RD 	102160165 	10mg 	po liof inj 	12/11/2012
Doxorrubicina (cloridrato) 	Pfizer 	ADRIBLASTINA RD 	102160165 	50mg 	po liof inj 	12/11/2012
Cloridrato de dronedarona 	Sanofi-Aventis 	MULTAQ 	113001079 	400 mg 	com rev 	12/11/2012
Dropropizina 	Abbott 	VIBRAL 	105530348 	1,5mg/mL 	xpe (infantil) 	12/11/2012
Dropropizina 	Abbott 	VIBRAL 	105530348 	3mg/mL 	xpe (adulto) 	12/11/2012
Dropropizina 	Abbott 	VIBRAL 	105530348 	30mg/mL 	sol or (got) 	12/11/2012
Duloxetina (cloridrato) 	Eli Lilly 	CYMBALTA 	112600164 	30 g m	cap + micrograngasrorresstentesti 	12/11/2012
Duloxetina (clorid t ) rao	Eli Lilly 	CYMBALTA 	112600164 	60 g m	cap + micrograngastrorresistent es	12/11/2012
Dutasterida 	Glaxosmithkline 	AVODART 	101070231 	0,5mg 	cap mole 	12/11/2012
Econazol (nitrato) 	Stiefel 	MICOSTYL 	106750005 	10mg/g 	loç cremosa 	12/11/2012
Econazol (nitrato) 	Stiefel 	MICOSTYL 	106750005 	10mg/g 	crem derm 	12/11/2012
Efavirenz 	Merck Sharp & Dohme 	STOCRIN 	100290018 	30mg/mL 	sol or 	12/11/2012
Efavirenz 	Merck Sharp & Dohme 	STOCRIN 	100290018 	600 mg 	com rev 	12/11/2012
Eltrombopague olamina 	Glaxosmithkline 	REVOLADE 	101070279 	25mg 	com rev 	29/10/2015
Eltrombopague olamina 	Glaxosmithkline 	REVOLADE 	101070279 	50mg 	com rev 	29/10/2015
Empagliflozina 	Boehringer Ingelheim 	JARDIANCE 	103670172 	10mg 	com rev 	19/6/2015
Empagliflozina 	Boehringer Ingelheim 	JARDIANCE 	103670172 	25mg 	com rev 	19/6/2015
Enalapril (maleato) 	Merck Sharp & Dohme 	RENITEC 	100290031 	5mg 	com 	12/11/2012
Enalapril (maleato) 	Merck Sharp & Dohme 	RENITEC 	100290031 	10mg 	com 	12/11/2012
Enalapril (maleato) 	Merck Sharp & Dohme 	RENITEC 	100290031 	20mg 	com 	12/11/2012
Enflurano 	Cristália 	ENFLURAN 	102980157 	1ml/ml 	sol inal 	13/3/2013
Enfuvirtida 	Roche 	FUZEON 	101000617 	90mg/ml 	po liof sol inj 	30/4/2013
Entacapona 	Novartis Biociências 	COMTAN 	100680095 	200mg 	com rev 	12/11/2012
Entecavir 	Bristol Myers Squibb 	BARACLUDE 	101800377 	0,5mg 	com rev 	12/11/2012
Enzalutamida 	Astellas 	XTANDI 	177170006 	40mg 	cap mole 	29/1/2016
Epinastina (cloridrato) 	Aché 	TALERC 	105730364 	10mg 	com rev 	12/11/2012
Epinastina (cloridrato) 	Aché 	TALERC 	105730364 	20mg 	com rev 	12/11/2012
Epinastina (cloridrato) 	Aché 	TALERC 	105730364 	2mg/mL 	xpe 	12/11/2012
Epirrubicina (cloridrato) 	Pfizer 	FARMORUBICINA CS 	102160151 	2mg/mL 	sol inj 	12/11/2012
Epirrubicina (cloridrato) 	Pfizer 	FARMORUBICINA RD 	102160151 	10mg 	po liof sol inj 	12/11/2012
Epirrubicina (cloridrato) 	Pfizer 	FARMORUBICINA RD 	102160151 	50mg 	po liof sol inj 	12/11/2012
Eribulina (mesilato) 	Eisai Laboratórios 	HALAVEN 	173100001 	0,5mg/ml 	sol inj 	11/2/2015
Erlotinibe (cloridrato) 	Roche 	TARCEVA 	101000651 	25mg 	com rev 	12/11/2012
Erlotinibe (cloridrato) 	Roche 	TARCEVA 	101000651 	100mg 	com rev 	12/11/2012
Erlotinibe (cloridrato) 	Roche 	TARCEVA 	101000651 	150mg 	com rev 	12/11/2012
Eritromicina (estearato) 	Opem 	TROMAXIL 	127480025 	1000mg 	po sol inj 	12/11/2012
Eritromicina (estolato) 	Valeant Farmacêutica 	ILOSONE 	105750068 	20mg/mL 	sol top 	24/6/2013
Eritromicina (estolato) 	Valeant Farmacêutica 	ILOSONE 	105750068 	500 mg 	drag 	24/6/2013
Eritromicina (estolato) 	Valeant Farmacêutica 	ILOSONE 	105750068 	20mg/g 	gel 	2/8/2013
Ertapeném sódico 	Merck Sharp & Dohme 	INVANZ 	100290034 	1g 	po liof sol inj 	12/11/2012
Escitalopram (oxalato) 	Lundbeck 	LEXAPRO 	104750044 	20 mg/ml 	sol or 	12/11/2012
Escitalopram (oxalato) 	Lundbeck 	LEXAPRO 	104750044 	10mg 	com rev 	12/11/2012
Escitalopram (oxalato) 	Lundbeck 	LEXAPRO 	104750044 	15mg 	com rev 	12/11/2012
Escitalopram (oxalato) 	Lundbeck 	LEXAPRO 	104750044 	20mg 	com rev 	12/11/2012
Escopolamina (butilbrometo) 	Boehringer Ingelheim 	BUSCOPAN 	103670014 	10mg 	drag 	12/11/2012
Escopolamina (butilbrometo) 	Boehringer Ingelheim 	BUSCOPAN 	103670014 	10mg/mL 	sol or (got) 	12/11/2012
Escopolamina (butilbrometo) 	Boehringer Ingelheim 	BUSCOPAN 	103670014 	20mg/mL 	sol inj 	12/11/2012
Esomeprazol magnésio triidratado 	Astrazeneca 	NEXIUM 	116180105 	20mg 	com rev lib retard 	12/11/2012
Esomeprazol magnésio triidratado 	Astrazeneca 	NEXIUM 	116180105 	40mg 	com rev lib retard 	12/11/2012
Esomeprazol sódico 	Astrazeneca 	NEXIUM iv 	116180209 	40mg 	po liof sol inj 	12/11/2012
Espiramicina 	Sanofi-Aventis 	ROVAMICINA 	113000309 	1,5 MUI 	com rev 	12/11/2012
Espironolactona 	Pfizer 	ALDACTONE 	102160176 	25 mg 	com 	12/11/2012
Espironolactona 	Pfizer 	ALDACTONE 	102160176 	50mg 	com 	12/11/2012
Espironolactona 	Pfizer 	ALDACTONE 	102160176 	100mg 	com 	12/11/2012
Estazolam 	Abbott 	NOCTAL 	105530045 	2mg 	com 	12/11/2012
Estradiol 	Janssen Cilag 	SYSTEN 	112363336 	1,6mg 	ades 	12/11/2012
Estradiol 	Janssen Cilag 	SYSTEN 	112363336 	3,2mg 	ades 	12/11/2012
Estradiol 	Janssen Cilag 	SYSTEN 	112363336 	6,4mg 	ades 	12/11/2012
Estradiol 	Organon 	SANDRENA 	101710084 	0,1PCC (1mg/g) 	gel (sachê) 	12/11/2012
Estradiol (hemiidratado) 	Teva Farmacêutica 	ESTREVA 	155730017 	0,1PCC (1mg/g) 	gel 	12/11/2012
Estriol 	Schering Plough 	OVESTRION 	101710030 	1,0 mg/g 	crem vag 	12/11/2012
Estriol 	Schering Plough 	OVESTRION 	101710030 	1,0mg 	com 	12/11/2012
Estriol 	Schering Plough 	OVESTRION 	101710030 	2,0mg 	com 	12/11/2012
Etilefrina (cloridrato) 	Boehringer Ingelheim 	EFORTIL 	103670023 	10mg/mL 	sol inj 	12/11/2012
Etilefrina (cloridrato) 	Boehringer Ingelheim 	EFORTIL 	103670023 	5mg 	com 	12/11/2012
Etilefrina (cloridrato) 	Boehringer Ingelheim 	EFORTIL 	103670023 	7,5mg/mL 	sol or 	12/11/2012
Etodolaco 	Apsen 	FLANCOX 	101180146 	200mg 	com rev 	12/11/2012
Etodolaco 	Apsen 	FLANCOX 	101180146 	300mg 	com rev 	12/11/2012
Etodolaco 	Apsen 	FLANCOX 	101180146 	400mg 	com rev 	12/11/2012
Etomidato 	Janssen Cilag 	HYPNOMIDATE 	112360023 	2mg/mL 	sol inj 	12/11/2012
Etonogestrel 	Schering Plough 	IMPLANON 	101710088 	68mg 	impl sc 	12/11/2012
Etoposídeo 	Bristol Myers Squibb 	VEPESID 	101800135 	50mg 	cap mole 	12/11/2012
Etoposídeo 	Pfizer 	EUNADES CS 	102160215 	20 mg/ml 	sol inj 	12/11/2012
Etoricoxib 	Merck Sharp & Dohme 	ARCOXIA 	100290035 	60mg 	com rev 	12/11/2012
Etoricoxib 	Merck Sharp & Dohme 	ARCOXIA 	100290035 	90mg 	com rev 	12/11/2012
""	""	""	""	""	""	""
Etravirina	Janssen Cilag	INTELENCE	112363391	100mg	com	30/4/2013
""	""	""	""	""	""	""
Everolimo	Novartis Biociências	AFINITOR	100681065	2,5mg	com	12/11/2012
""	""	""	""	""	""	""
Everolimo	Novartis Biociências	AFINITOR	100681065	5mg	com	12/11/2012
""	""	""	""	""	""	""
Everolimo	Novartis Biociências	AFINITOR	100681065	10mg	com	12/11/2012
""	""	""	""	""	""	""
Everolimo	Novartis Biociências	CERTICAN	100680959	0,5mg	com	21/1/2013
""	""	""	""	""	""	""
Everolimo	Novartis Biociências	CERTICAN	100680959	0,75mg	com	21/1/2013
""	""	""	""	""	""	""
Everolimo	Novartis Biociências	CERTICAN	100680959	1,0mg	com	21/1/2013
""	""	""	""	""	""	""
Exemestano	Pfizer	AROMASIN	102160141	25mg	drag	12/11/2012
""	""	""	""	""	""	""
Exenatida	Eli Lilly	BYETTA	112600182	250mcg/ml	sol inj	12/11/2012
""	""	""	""	""	""	""
Ezetimiba	Merck Sharp & Dohme	EZETROL	100290076	10mg	com	12/11/2012
""	""	""	""	""	""	""
Fampridina	Biogen	FAMPYRA	169930003	10mg	com rev lib prol	1/7/2014
""	""	""	""	""	""	""
Felodipino	Astrazeneca	SPLENDIL	116180074	2,5mg	com rev lib prol	12/11/2012
""	""	""	""	""	""	""
Felodipino	Astrazeneca	SPLENDIL	116180074	5,0mg	com rev lib prol	12/11/2012
""	""	""	""	""	""	""
Felodipino	Astrazeneca	SPLENDIL	116180074	10mg	com rev lib prol	12/11/2012
""	""	""	""	""	""	""
Fenazopiridina (cloridrato)	Zodiac	PYRIDIUM	122140075	100mg	drag	12/11/2012
""	""	""	""	""	""	""
Fenazopiridina (cloridrato)	Zodiac	PYRIDIUM	122140075	200mg	drag	12/11/2012
""	""	""	""	""	""	""
Fenilbutazona cálcica	Boehringer Ingelheim	BUTAZONA CÁLCICA	103670059	200mg	com rev	12/11/2012
""	""	""	""	""	""	""
Fenitoína	Sanofi-Aventis	HIDANTAL	113000233	100mg	com	12/11/2012
""	""	""	""	""	""	""
Fenitoína sódica	Sanofi-Aventis	HIDANTAL	113000233	50mg/mL	sol inj	12/11/2012
""	""	""	""	""	""	""
Fenobarbital	Sanofi-Aventis	GARDENAL	113000306	40mg/mL	sol or	12/11/2012
""	""	""	""	""	""	""
Fenobarbital	Sanofi-Aventis	GARDENAL	113000306	50mg	com	12/11/2012
""	""	""	""	""	""	""
Fenobarbital	Sanofi-Aventis	GARDENAL	113000306	100mg	com	12/11/2012
""	""	""	""	""	""	""
Fenofibrato	Abbott	LIPIDIL	105530358	200mg	cap dura	12/11/2012
""	""	""	""	""	""	""
Fenofibrato	Abbott	LIPIDIL	105530358	160mg	com rev	10/12/2014
""	""	""	""	""	""	""
Fenofibrato	Cosmed	LIPANON	178170095	250mg	"cap gel dura com grangastrorresistentes"	12/11/2012
""	""	""	""	""	""	""
Fenoterol (bromidrato)	Boehringer Ingelheim	BEROTEC	103670006	0,25mg/mL	xpe	12/11/2012
""	""	""	""	""	""	""
Fenoterol (bromidrato)	Boehringer Ingelheim	BEROTEC	103670006	0,5mg/mL	xpe	12/11/2012
""	""	""	""	""	""	""
Fenoterol (bromidrato)	Boehringer Ingelheim	BEROTEC	103670006	5,0 mg/mL	sol	12/11/2012
""	""	""	""	""	""	""
Fenoterol (bromidrato)	Boehringer Ingelheim	BEROTEC	103670006	2mg/ml (100mcg/dose)	sol aer dosif	12/11/2012
""	""	""	""	""	""	""
Fenoterol (bromidrato)	Boehringer Ingelheim	BEROTEC	103670006	4mg/ml (200mcg/dose)	sol aer dosif	12/11/2012
""	""	""	""	""	""	""
Fentanila	Janssen Cilag	DUROGESIC D-TRANS	112360027	2,1mg	ades	12/11/2012
""	""	""	""	""	""	""
Fentanila	Janssen Cilag	DUROGESIC D-TRANS	112360027	4,2mg	ades	12/11/2012
""	""	""	""	""	""	""
Fentanila	Janssen Cilag	DUROGESIC D-TRANS	112360027	8,4mg	ades	12/11/2012
""	""	""	""	""	""	""
Fentanila	Janssen Cilag	DUROGESIC D-TRANS	112360027	16,8mg	ades	12/11/2012
""	""	""	""	""	""	""
Fentanila (citrato)	Janssen Cilag	FENTANIL	112360027	50mcg/mL	sol inj	12/11/2012
""	""	""	""	""	""	""
Fenticonazol (nitrato)	Aché	FENTIZOL	105730327	0,02g/g	crem vag	12/11/2012
""	""	""	""	""	""	""
Fenticonazol (nitrato)	Aché	FENTIZOL	105730327	600mg	ovul	12/11/2012
""	""	""	""	""	""	""
Fenticonazol (nitrato)	Aché	FENTIZOL	105730327	20mg/ml	sol derm	21/1/2013
""	""	""	""	""	""	""
Fenticonazol (nitrato)	Aché	FENTIZOL	105730327	0,02g/g	crem derm	29/10/2014
""	""	""	""	""	""	""
Fexofenadina (cloridrato)	Sanofi-Aventis	ALLEGRA	113000258	30mg	com rev	12/11/2012
""	""	""	""	""	""	""
Fexofenadina (cloridrato)	Sanofi-Aventis	ALLEGRA	113000258	60mg	com rev	12/11/2012
""	""	""	""	""	""	""
Fexofenadina (cloridrato)	Sanofi-Aventis	ALLEGRA	113000258	120mg	com rev	12/11/2012
""	""	""	""	""	""	""
Fexofenadina (cloridrato)	Sanofi-Aventis	ALLEGRA	113000258	180mg	com rev	12/11/2012
""	""	""	""	""	""	""
Fexofenadina (cloridrato)	Sanofi-Aventis	ALLEGRA pediátrico	113000258	6mg/mL	sus or	12/11/2012
Finasterida 	Merck Sharp & Dohme 	PROPÉCIA 	100290019 	1 mg 	com rev 	12/11/2012
Finasterida 	Merck Sharp & Dohme 	PROSCAR 	100290028 	5 mg 	com rev 	12/11/2012
Fingolimode (cloridrato) 	Novartis Biociências 	GILENYA 	100681076 	0,5mg 	cap dura 	21/1/2013
Fluconazol 	Pfizer 	ZOLTEC 	102160044 	2mg/mL 	sol inj infus iv 	12/11/2012
Fluconazol 	Pfizer 	ZOLTEC 	102160044 	50mg 	cap dura 	12/11/2012
Fluconazol 	Pfizer 	ZOLTEC 	102160044 	100mg 	cap dura 	12/11/2012
Fluconazol 	Pfizer 	ZOLTEC 	102160044 	150mg 	cap dura 	12/11/2012
Fludarabina (fosfato) 	Genzyme 	FLUDARA 	125430024 	10mg 	com rev 	12/11/2012
Fludarabina (fosfato) 	Genzyme 	FLUDARA 	125430024 	50mg 	po liof sol inj 	12/11/2012
Flumazenil 	Roche 	LANEXAT 	101000148 	0,1mg/mL 	sol inj 	12/11/2012
Flunitrazepam 	Roche 	ROHYPNOL 	101000075 	1mg 	com rev 	12/11/2012
Fluoruracila 	Eurofarma 	FLUORURACILA 	100430795 	25mg/mL 	sol inj 	12/11/2012
Fluoruracila 	Accord 	FLUORURACILA 	155370021 	50mg/mL 	sol inj 	12/11/2012
Fluoxetina (cloridrato) 	Eli Lilly 	PROZAC 	112600007 	20mg 	cap dura 	12/11/2012
Flurbiprofeno 	Allergan 	OCUFEN 	101470042 	0,3mg/mL 	sol oft 	12/11/2012
Flurbiprofeno 	Reckitt Benckiser 	STREPSILS 	173900003 	8,75mg 	past 	30/11/2015
Flutamida 	Hypermarcas 	EULEXIN 	172870521 	250mg 	com 	12/11/2012
Fluticasona (furoato) 	Glaxosmithkline 	AVAMYS 	101070271 	27,5mcg/dose 	spr nas 	19/4/2013
Fluticasona (proprionato) 	Glaxosmithkline 	FLIXOTIDE SPR 	101070197 	50mcg/dose 	sol aer inal or + inal 	12/11/2012
Fluticasona (proprionato) 	Glaxosmithkline 	FLIXOTIDE SPR 	101070197 	250mcg/dose 	sol aer inal or + inal 	12/11/2012
Fluticasona (proprionato) 	Glaxosmithkline 	FLIXOTIDE DISKUS 	101070197 	50mcg/dose 	po inal 	12/11/2012
Fluticasona (proprionato) 	Glaxosmithkline 	FLIXOTIDE DISKUS 	101070197 	250mcg/dose 	po inal 	12/11/2012
Fluticasona (proprionato) 	Glaxosmithkline 	FLIXONASE 	101070167 	50mcg/dose 	sus nas 	12/11/2012
Flutrimazol 	Biosintética 	MICETAL 	112130217 	0,01g/g 	crem derm 	12/11/2012
Flutrimazol 	Biosintética 	MICETAL 	112130217 	0,01g/mL 	sol top 	12/11/2012
Fluvastatina sódica 	Novartis Biociências 	LESCOL XL 	100680041 	80mg 	com rev lib prol 	12/11/2012
Formoterol (fumarato) 	Novartis Biociências 	FORADIL 	100680026 	12mcg 	cap dura po inal or 	12/11/2012
Fosamprenavir (cálcico) 	Glaxosmithkline 	TELZIR 	101070248 	700mg 	com rev 	30/4/2013
Fosamprenavir (cálcico) 	Glaxosmithkline 	TELZIR 	101070248 	50mg/ml 	sus or 	30/4/2013
Fotemustina 	Servier 	MUPHORAN 	112780053 	50mg/mL 	po sol inj 	12/11/2012
Fulvestranto 	Astrazeneca 	FASLODEX 	116180114 	50mg/mL 	sol inj 	12/11/2012
Furosemida 	Sanofi-Aventis 	LASIX 	113000052 	10mg/mL 	sol inj 	12/11/2012
Furosemida 	Sanofi-Aventis 	LASIX 	113000052 	40mg 	com 	12/11/2012
Fusídico, ácido 	Leo Pharma 	VERUTEX 	185690002 	20mg/g 	crem derm 	12/11/2012
Gabapentina 	Pfizer 	NEURONTIN 	102160089 	300mg 	cap dura 	12/11/2012
Gabapentina 	Pfizer 	NEURONTIN 	102160089 	400mg 	cap dura 	12/11/2012
Gabapentina 	Pfizer 	NEURONTIN 	102160089 	600mg 	com rev 	12/11/2012
Galantamina (hidrobrometo) 	Janssen Cilag 	REMINYL ER 	112363352 	8,0mg 	cap dura lib prol 	12/11/2012
Galantamina (hidrobrometo) 	Janssen Cilag 	REMINYL ER 	112363352 	16mg 	cap dura lib prol 	12/11/2012
Galantamina (hidrobrometo) 	Janssen Cilag 	REMINYL ER 	112363352 	24mg 	cap dura lib prol 	12/11/2012
Ganciclovir sódico 	Roche 	CYMEVENE 	101000536 	500mg 	po liof sol inj 	12/11/2012
Gatifloxacino 	Allergan 	ZYMAR 	101470159 	3mg/mL 	sol oft 	12/11/2012
Gemifloxacino (mesilato) 	Aché 	FACTIVE 	105730363 	320 mg 	com rev 	12/11/2012
Gencitabina (cloridrato) 	Eli Lilly 	GEMZAR 	112600017 	200mg 	po liof sol inj 	12/11/2012
Gencitabina (cloridrato) 	Eli Lilly 	GEMZAR 	112600017 	1g 	po liof sol inj 	12/11/2012
Genfibrozila 	Pfizer 	LOPID 	102160098 	600mg 	com rev 	12/11/2012
Ibuprofeno 	Wyeth 	ADVIL 	121100056 	400 mg 	caps gel mole 	8/3/2013
Ibuprofeno 	Relthy Laboratórios Ltda 	CAPSFEN 	152050002 	600mg 	cap mole 	12/11/2012
Ibuprofeno 	Pfizer 	MOTRIN 	102160156 	600mg 	com rev 	12/11/2012
Ibuprofeno 	Hypermarcas 	ALIVIUM 	172870479 	30mg/mL 	sus or 	12/11/2012
Ibuprofeno 	Hypermarcas 	ALIVIUM 	172870479 	50mg/mL 	sus or 	12/11/2012
Ibuprofeno 	Hypermarcas 	ALIVIUM 	172870479 	100mg/mL 	sus or 	12/11/2012
Idarrubicina (cloridrato) 	Pfizer 	ZAVEDOS 	102160174 	5mg 	po liof sol inj 	12/11/2012
Idarrubicina (cloridrato) 	Pfizer 	ZAVEDOS 	102160174 	10mg 	po liof sol inj 	12/11/2012
Imatinib (mesilato) 	Novartis Biociências 	GLIVEC 	100680174 	100mg 	com rev 	12/11/2012
Imatinib (mesilato) 	Novartis Biociências 	GLIVEC 	100680174 	400mg 	com rev 	12/11/2012
Imipramina (cloridrato) 	Novartis Biociências 	TOFRANIL 	100680083 	10mg 	drag 	12/11/2012
Imipramina (cloridrato) 	Novartis Biociências 	TOFRANIL 	100680083 	25mg 	drag 	12/11/2012
Imipramina (pamoato) 	Novartis Biociências 	TOFRANIL PAMOATO 	100680088 	75mg 	cap gel dura 	12/11/2012
Imipramina (pamoato) 	Novartis Biociências 	TOFRANIL PAMOATO 	100680088 	150mg 	cap gel dura 	12/11/2012
Imiquimode 	Farmoquímica 	IXIUM 	103900176 	50mg/g 	crem derm 	29/10/2014
Indacaterol (maleato) 	Novartis Biociências 	ONBRIZE 	100681073 	150mcg 	cap dura po inal or 	30/4/2013
Indacaterol (maleato) 	Novartis Biociências 	ONBRIZE 	100681073 	300mcg 	cap dura po inal or 	30/4/2013
Indapamida 	Servier 	NATRILIX 	112780048 	2,5mg 	drag 	12/11/2012
Indapamida 	Servier 	NATRILIX SR 	112780048 	1,5mg 	com rev lib prol 	12/11/2012
Indinavir (sulfato) 	Merck Sharp & Dohme 	CRIXIVAN 	100290004 	400mg 	cap dura 	12/11/2012
Indometacina 	Merck Sharp & Dohme 	INDOCID 	100290170 	100mg 	sup 	12/11/2012
Indometacina 	Aspen Pharma 	INDOCID 	137640119 	25mg 	cap dura 	12/11/2012
Indometacina 	Aspen Pharma 	INDOCID 	137640119 	50mg 	cap dura 	12/11/2012
Ipratrópio (brometo) 	Boehringer Ingelheim 	ATROVENT N 	103670004 	20 mcg/dose 	aer dosif 	12/11/2012
Ipratrópio (brometo) 	Boehringer Ingelheim 	ATROVENT 	103670004 	0,25mg/mL 	sol inal 	12/11/2012
Irbesartana 	Sanofi-Ave tis 	APROVEL 	113000993 	150mg 	com 	12/11/2012
Irbesartana 	Sanofi-Aventis 	APROVEL 	113000993 	300mg 	com 	12/11/2012
Irinotecano (cloridrato tri-hidratado) 	Pfizer 	CAMPTOSAR 	102160147 	20mg/mL 	sol inj 	12/11/2012
Isoconazol (nitrato) 	Bayer 	GYNO-ICADEN 	170560099 	10mg/g 	crem vag 	12/11/2012
Isoconazol (nitrato) 	Bayer 	GYNO-ICADEN 	170560099 	600mg 	ovul 	12/11/2012
Isoconazol (nitrato) 	Bayer 	ICADEN 	170560100 	10mg/g 	crem derm 	12/11/2012
Isoconazol (nitrato) 	Bayer 	ICADEN 	170560100 	10mg/mL 	sol top 	12/11/2012
Isoconazol 	Bayer 	ICADEN 	170560100 	10mg/ml 	sol spr 	12/11/2012
Isoflurano 	Biochimico 	ISOFLURANO 	100630222 	1ml/mL 	sol inal 	13/3/2013
Isotretinoína 	Roche 	ROACUTAN 	101000182 	10mg 	cap mole 	12/11/2012
Isotretinoína 	Roche 	ROACUTAN 	101000182 	20mg 	cap mole 	12/11/2012
Isotretinoína 	Stiefel 	ISOTREX 	106750046 	0,5mg/g 	gel 	12/11/2012
Isotretinoína 	Stiefel 	ISOTREX 	106750046 	0,5mg/g 	crem derm 	12/11/2012
Itraconazol 	Janssen Cilag 	SPORANOX 	112360028 	100mg 	cap dura 	12/11/2012
Ivabradina (cloridrato) 	Servier 	PROCORALAN 	112780071 	5mg 	com rev 	10/5/2013
Ivabradina (cloridrato) 	Servier 	PROCORALAN 	112780071 	7,5mg 	com rev 	10/5/2013
Ivermectina 	Abbott 	REVECTINA 	105530351 	6mg 	com 	12/11/2012
Lacidipino 	Glaxosmithkline 	LACIPIL 	101070179 	4mg 	com rev 	12/11/2012
Lacosamida 	MEIZLER 	VIMPAT 	123610081 	50mg 	com rev 	1/7/2014
Lacosamida 	MEIZLER 	VIMPAT 	123610081 	100mg 	com rev 	1/7/2014
Lacosamida 	MEIZLER 	VIMPAT 	123610081 	150mg 	com rev 	1/7/2014
Lacosamida 	MEIZLER 	VIMPAT 	123610081 	200mg 	com rev 	1/7/2014
Lacosamida 	MEIZLER 	VIMPAT 	123610081 	10mg/ml 	sol or 	1/7/2014
